"trip_distance","fare_amount","total_amount","trip_timelength","intratrip","weekday"
1.3,8.5,11.3,11.8,"no","miércoles"
1.3,7,9.8,7.61666666666667,"no","viernes"
1.3,10,13.55,14,"no","sábado"
0.7,5.5,8.75,6.11666666666667,"no","viernes"
1.76,14.5,18.96,22.65,"no","jueves"
1.6,9.5,12.95,11.55,"no","sábado"
3.41,13,17.16,12.2833333333333,"no","jueves"
3.11,15.5,20.76,19.8666666666667,"no","viernes"
3.6,16,21.35,24.7166666666667,"yes","lunes"
1.38,8,11.62,9.55,"no","miércoles"
1.27,8,11.76,10.1166666666667,"no","martes"
1.51,7.5,10.3,8.28333333333333,"no","miércoles"
1.2,9,12.95,11.5666666666667,"no","miércoles"
1.5,9,11.3,12.1166666666667,"no","viernes"
1.2,8,10.7,8.96666666666667,"no","martes"
11.83,39,48.36,37.6333333333333,"yes","viernes"
2.13,8.5,13.71,7.06666666666667,"no","lunes"
5.25,18.5,21.8,17.9666666666667,"yes","viernes"
1.5,15,20.15,24.4666666666667,"no","miércoles"
1.19,9.5,13.56,13.25,"no","jueves"
3.93,15.5,21,17.5666666666667,"no","domingo"
1.84,7.5,11.16,6,"no","lunes"
1.8,7.5,10.3,6.25,"no","miércoles"
1.8,9,11.3,8.96666666666667,"no","lunes"
0.66,5,8.16,5.03333333333333,"no","miércoles"
1.76,10,13.33,12.5,"no","sábado"
0.69,6.5,9.96,7.88333333333333,"no","miércoles"
4.7,18.5,23.75,24.7833333333333,"no","sábado"
1.99,12.5,17.5,17.7666666666667,"no","lunes"
1.68,9.5,13.56,12.15,"no","viernes"
1.83,9,11.8,10.15,"no","miércoles"
1.4,6.5,9.35,5.58333333333333,"no","martes"
1.65,9.5,12.96,11.3333333333333,"no","viernes"
4.04,14,18.36,14.1,"no","miércoles"
1.9,10,13.56,12.9833333333333,"no","miércoles"
1.45,8,11.16,10.2166666666667,"no","martes"
1.83,9,12.36,10,"no","miércoles"
2.5,10.5,14.16,11.5333333333333,"no","lunes"
2.88,12.5,16.28,14.9166666666667,"no","miércoles"
2.1,10.5,14.16,12.25,"no","sábado"
1.5,7,10.56,7.53333333333333,"no","martes"
9.6,28,34.3,19.3,"yes","domingo"
4.8,18.5,23.75,22.3,"yes","miércoles"
1.3,6.5,8.8,6.46666666666667,"no","viernes"
3.52,19,24.96,28.45,"no","viernes"
2.85,11,14.76,11.65,"no","miércoles"
5.34,20.5,26.16,24.0666666666667,"yes","jueves"
0.8,6,8.76,6.28333333333333,"no","miércoles"
1.54,9,12.8,11.5166666666667,"no","miércoles"
3.8,16.5,20.47,20.5666666666667,"no","domingo"
1.6,7.5,9.68,7.31666666666667,"no","miércoles"
0.8,5.5,7.8,5.8,"no","miércoles"
3.58,13,17.16,15.0333333333333,"no","miércoles"
11.4,40.5,57.66,49.6,"yes","martes"
4.2,17,21.3,21.6166666666667,"no","domingo"
6.5,26,32.75,36.0166666666667,"yes","jueves"
1.96,11.5,14.3,16.75,"no","jueves"
10.2,29,36.35,24.0166666666667,"yes","viernes"
1.2,11,14.75,16.35,"no","martes"
3,11.5,15.36,10.8666666666667,"yes","domingo"
1.29,6.5,8.8,6.5,"no","miércoles"
2.5,11.5,15.35,13.6166666666667,"no","sábado"
1.85,8,11.62,8.75,"no","martes"
2.3,10,13.55,10.1166666666667,"no","lunes"
4.1,14.5,19.75,14.8666666666667,"yes","viernes"
1.9,8,11.15,7.1,"no","jueves"
2.04,10.5,14.76,14.7833333333333,"no","martes"
2.2,9.5,12.95,11.15,"no","sábado"
2.5,14,18.35,20.5666666666667,"no","sábado"
2.2,9.5,12.05,11,"no","miércoles"
3,11.5,14.8,11.15,"no","miércoles"
6.39,25,29.4,28.6666666666667,"no","viernes"
11.9,35,50.19,24.35,"yes","domingo"
1.8,9,12.36,9.56666666666667,"no","sábado"
2.6,13,16.3,15.0333333333333,"yes","jueves"
1.4,7,10.55,7.31666666666667,"no","viernes"
2.3,9.5,12.8,10,"no","lunes"
1.67,7.5,11.16,6,"no","viernes"
1.22,7,9.3,7.43333333333333,"no","miércoles"
2.31,9.5,12.85,9.15,"no","viernes"
1.73,8.5,11.76,8.25,"no","sábado"
2.74,10.5,13.57,10.2166666666667,"no","miércoles"
1.1,7,9.96,8.15,"no","jueves"
1.1,7.5,10.55,9.1,"no","viernes"
0.9,6,8.76,6.18333333333333,"no","jueves"
2.2,13.5,18.35,20.6333333333333,"no","jueves"
3.72,14,18.3,14.4833333333333,"no","lunes"
2.76,11,14.76,9.91666666666667,"no","jueves"
2.66,11.5,15.36,11.5333333333333,"no","lunes"
2.6,12,15.05,13.8333333333333,"no","jueves"
4.56,15,19.56,11.75,"no","miércoles"
2.74,9.5,12.96,7.63333333333333,"no","lunes"
1.2,7,9.95,7.76666666666667,"no","miércoles"
5.72,24,30.36,31.25,"yes","sábado"
1.9,8,10.8,7.76666666666667,"no","jueves"
1.53,7,9.96,6.5,"no","viernes"
4,20.5,26.75,30.45,"no","viernes"
1.2,9,12.3,11.4,"no","martes"
1.3,7,9.96,7.05,"no","domingo"
1.32,7.5,10.8,8.26666666666667,"no","domingo"
1.7,8,11.3,9.58333333333333,"no","miércoles"
1.16,7,9.41,7.5,"no","jueves"
2.2,10.5,14.3,11.9333333333333,"no","viernes"
1.67,12,16.56,17.3333333333333,"no","martes"
11.05,38,54.67,43.7166666666667,"yes","lunes"
5.3,21.5,27.35,29.1166666666667,"no","martes"
5.2,19.5,26,21.7,"no","sábado"
4.53,15,19.56,14.2666666666667,"yes","domingo"
1.7,8,11.75,9.43333333333333,"no","miércoles"
0.6,5.5,8.3,5.9,"no","viernes"
